in1,in4,in7,out1,out2,out3,out4,out5,ex_attr_1,ex_attr_2,ex_attr_3,ex_attr_4,ex_attr_5
-627.645152450584,-623.8857853707989,-621.211982326855,,,,,,-432.0738395058775,-545.0700930444664,-551.8181034766195,-649.1293084532862,-633.9660228464672
-628.0836561497907,-623.8724163555792,-621.2253513420748,,,,,,-431.8398817395324,-545.123569105345,-551.7412316391061,-649.1321308009437,-633.9927608769067
-628.7547807138205,-623.925892416458,-621.2387203572945,,,,,,-432.47490996246904,-544.8628733085606,-551.5005893651512,-649.1310909886488,-634.0016735537198
-628.8483638203586,-623.925892416458,-621.2387203572945,,,,,,-431.67276904928593,-545.0968310749057,-551.8381569994492,-649.1291599086727,-633.9927608769066
-628.8978291766716,-623.9392614316778,-621.2654583877339,,,,,,-431.0043182883,-544.7692902020226,-551.5072738727611,-649.134358970147,-633.9972172153131
-629.06627876844,-623.8991543860186,-621.211982326855,,,,,,-431.43881128294083,-545.1503071357845,-551.8013922075949,-649.1355473270554,-633.9571101696541
-629.1518404658462,-623.8857853707989,-621.1852442964156,,,,,,-431.47223382099014,-544.8762423237804,-551.654333040178,-649.1345075147606,-633.9749355232804
-629.5007717630809,-623.8857853707989,-621.1986133116353,,,,,,-431.33854366879297,-544.5152789128479,-551.5774612026645,-649.1324278901708,-633.9749355232804
-629.7935531963927,-623.8857853707989,-621.211982326855,,,,,,-431.27169859269435,-545.1770451662239,-551.8582105222786,-649.1346560593742,-633.9704791848739
-630.0702918114409,-623.925892416458,-621.2520893725142,,,,,,-431.0043182883,-544.7626056944127,-551.4304020352477,-649.1260404717881,-633.9838482000936
-630.5809881928342,-623.925892416458,-621.2387203572945,,,,,,-431.7730366634338,-544.7893437248522,-551.7144936086668,-649.1361415055096,-633.9749355232804
-630.6130738293616,-623.9125234012383,-621.2520893725142,,,,,,-431.33854366879297,-544.9765099379282,-551.6008569792991,-649.1287142748321,-633.9883045385001
-630.736068769383,-623.8857853707989,-620.5167935354297,,,,,,-431.33854366879297,-544.9965634607578,-551.5406964108104,-649.1301997209675,-633.9660228464671
-630.974037240294,-623.8857853707989,-620.5435315658691,,,,,,-431.30512113074366,-544.889611339,-551.4939048575413,-649.1288628194455,-633.9838482000936
-630.976711043338,-623.925892416458,-620.597007626748,,,,,,-431.8398817395324,-545.036670506417,-551.7646274157407,-649.1346560593742,-633.9883045385
-631.3844660075393,-623.8991543860186,-620.5569005810888,,,,,,-431.53907889708876,-545.2572592575423,-551.8548682684738,-649.13406188092,-633.979391861687
-631.7494401230377,-623.8857853707989,-620.5301625506494,,,,,,-431.1380084404972,-545.1168845977352,-551.7612851619356,-649.1310909886489,-633.9704791848739
-632.3978373611941,-623.9659994621172,-620.5836386115282,,,,,,-431.47223382099014,-544.6222310346056,-551.6309372635435,-649.1282686409913,-633.9927608769066
-632.7106723173356,-623.9392614316778,-620.597007626748,,,,,,-431.40538874489164,-544.9631409227086,-551.8348147456442,-649.1232181241306,-634.0016735537197
-633.0061275536914,-623.9526304468975,-619.9552948962014,,,,,,-431.10458590244787,-544.6957606183141,-551.6576752939828,-649.1278230071507,-634.0150425689394
-632.8015816208297,-623.9392614316778,-619.9018188353226,,,,,,-431.1380084404972,-545.1302536129549,-551.8247879842295,-649.1304968101947,-633.979391861687
-632.7160199234233,-623.9125234012383,-619.2734751199957,,,,,,-431.3719662068423,-545.0099324759775,-551.6810710706175,-649.1233666687442,-633.979391861687
-632.683934286896,-623.9659994621172,-619.2868441352155,,,,,,-431.6393465112366,-545.417687440179,-551.9885584206709,-649.1275259179235,-634.0284115841591
-632.9526514928125,-623.8991543860186,-619.2333680743366,,,,,,-431.23827605464504,-544.8495042933409,-551.6342795173484,-649.1319822563302,-633.9972172153131
-633.3711016691897,-623.9526304468975,-619.2333680743366,,,,,,-431.8733042775817,-544.7692902020226,-551.4805358423216,-649.1260404717881,-634.0016735537197
-634.0074667936483,-623.8724163555792,-619.3002131504352,,,,,,-431.80645920148316,-544.8027127400718,-551.607541486909,-649.1251492041068,-634.0016735537197
-634.5502488115688,-623.9526304468975,-619.0328328460408,,,,,,-431.97357189172965,-544.9831944455382,-551.5774612026646,-649.138369674713,-633.9927608769066
-634.9954370183856,-623.9392614316778,-619.2467370895563,,,,,,-431.33854366879297,-544.8695578161705,-551.5841457102745,-649.1304968101947,-633.9749355232802
-634.8924956011937,-623.8991543860186,-619.2066300438971,,,,,,-431.6059239731874,-545.3107353184212,-551.9016598217428,-649.1318337117167,-633.9704791848739
-634.7628161535624,-623.925892416458,-619.2199990591168,,,,,,-431.30512113074366,-545.0634085368564,-551.938424613597,-649.1296055425134,-633.9660228464672
-634.8336719342269,-623.9125234012383,-619.2333680743366,,,,,,-431.30512113074366,-545.2171522118832,-551.7278626238865,-649.1324278901707,-633.9838482000936
-634.9767203970779,-623.9526304468975,-619.260106104776,,,,,,-431.2048535165958,-545.4778480086677,-551.834814745644,-649.1319822563302,-633.9883045385001
-634.9499823666384,-623.9392614316778,-619.260106104776,,,,,,-431.3719662068423,-544.9965634607578,-551.3435034363196,-649.1250006594931,-633.9972172153131
-634.7507840398647,-623.8991543860186,-619.2333680743366,,,,,,-431.3719662068423,-545.0634085368564,-551.7713119233506,-649.1315366224894,-633.9883045385
-634.8336719342269,-623.8724163555792,-619.2066300438971,,,,,,-430.77036052195484,-545.2438902423225,-551.8181034766195,-649.134358970147,-633.979391861687
-635.0970415340554,-623.925892416458,-619.260106104776,,,,,,-431.30512113074366,-545.1436226281746,-551.7746541771554,-649.1304968101947,-633.9972172153131
-635.1585390040661,-623.9392614316778,-619.2333680743366,,,,,,-431.3051211307437,-544.7158141411437,-551.4070062586131,-649.1345075147606,-633.9927608769066
-634.9847418062097,-623.9526304468975,-618.4847032220323,,,,,,-431.4722338209902,-545.5246395619367,-552.0152964511104,-649.1315366224894,-634.0016735537197
-634.9098753209793,-623.8724163555792,-618.5649173133506,,,,,,-431.4053887448915,-545.270628272762,-551.8715795374984,-649.1272288286965,-633.9883045385
-635.1197688599289,-623.8991543860186,-618.9927258003817,,,,,,-430.9374732122013,-544.7626056944127,-551.5473809184202,-649.1266346502423,-633.9927608769066
-635.2494483075602,-623.925892416458,-618.9526187547225,,,,,,-430.7369379839056,-544.5219634204577,-551.5173006341759,-649.1316851671031,-633.9838482000933
-635.6331390443662,-623.9392614316778,-619.0060948156014,,,,,,-431.30512113074366,-545.0700930444663,-551.704466847252,-649.1244064810389,-634.0061298921263
-635.5622832637016,-623.9125234012383,-618.9659877699422,,,,,,-430.9708957502507,-545.0968310749057,-551.801392207595,-649.1299026317405,-633.9883045385
-635.5943689002289,-623.8724163555792,-618.8055595873055,,,,,,-431.1380084404972,-545.223836719493,-551.8080767152047,-649.131388077876,-633.9749355232804
-635.5622832637016,-623.8991543860186,-618.9526187547225,,,,,,-430.90405067415213,-544.7826592172422,-551.6309372635435,-649.1264861056287,-633.9927608769066
-635.1973091482033,-623.925892416458,-618.9659877699422,,,,,,-431.03774082634925,-545.0032479683678,-551.7211781162766,-649.1327249793981,-633.9927608769066
-634.8911586996717,-623.8991543860186,-618.9659877699422,,,,,,-430.90405067415213,-544.7425521715832,-551.4537978118822,-649.1319822563302,-633.9972172153131
-634.3109434391359,-623.9125234012383,-618.9793567851619,,,,,,-431.20485351659573,-545.036670506417,-551.7245203700816,-649.1260404717881,-633.9972172153131
-633.7588031105615,-623.925892416458,-618.9793567851619,,,,,,-431.2382760546451,-545.0032479683678,-551.5874879640794,-649.1288628194457,-634.0105862305328
-633.2708340550417,-623.925892416458,-618.9927258003817,,,,,,-431.3719662068422,-544.7425521715832,-551.4738513347118,-649.1309424440353,-633.9883045385
-632.879121909104,-623.9125234012383,-618.9659877699422,,,,,,-431.4053887448916,-545.270628272762,-551.8314724918392,-649.1275259179237,-634.0061298921263
-632.2761793226947,-623.9526304468975,-618.9927258003817,,,,,,-432.00699442977896,-545.0166169835875,-551.7111513548618,-649.1238123025847,-634.0284115841591
-631.5783167282253,-623.9125234012383,-618.9793567851619,,,,,,-431.10458590244787,-545.1569916433943,-551.941766867402,-649.1291599086727,-634.0016735537197
-630.8029138454816,-623.9125234012383,-618.9659877699422,,,,,,-431.2716985926944,-545.3909494097395,-551.9952429282808,-649.1325764347844,-634.0150425689394
-629.399167247411,-623.9125234012383,-618.9659877699422,,,,,,-432.1741071200254,-545.1770451662239,-551.8181034766195,-649.121732677995,-633.9972172153133
-628.0074527630383,-623.9125234012383,-619.2199990591168,,,,,,-431.6393465112367,-545.0099324759775,-551.6777288168125,-649.1349531486013,-633.9972172153131
-627.0823169098337,-623.9392614316778,-619.2467370895563,,,,,,-432.10726204392677,-544.8093972476818,-551.5908302178843,-649.1380725854859,-634.0016735537197
-626.4392672777652,-623.9125234012383,-619.6210695157084,,,,,,-431.8733042775817,-545.3107353184212,-551.7646274157407,-649.1310909886488,-633.9838482000936
-625.7480891909057,-623.9125234012383,-619.6478075461479,,,,,,-431.3719662068423,-544.8227662629015,-551.7980499537899,-649.1291599086726,-634.0061298921263
-625.2681415445179,-623.925892416458,-619.6344385309282,,,,,,-431.7396141253845,-544.9364028922691,-551.6509907863731,-649.1284171856049,-633.9749355232804
-625.162526324282,-623.925892416458,-619.6344385309282,,,,,,-431.5056563590395,-545.1569916433943,-551.7679696695457,-649.1260404717881,-633.9972172153131
-624.9178733457612,-623.8857853707989,-619.6210695157084,,,,,,-431.47223382099014,-545.1636761510042,-551.7412316391062,-649.1330220686252,-633.979391861687
-624.5889955713561,-623.9526304468975,-619.6611765613676,,,,,,-431.07116336439856,-544.7826592172423,-551.4070062586131,-649.1300511763541,-634.0061298921263
-624.115732432578,-623.9392614316778,-619.9151878505422,,,,,,-431.1380084404972,-544.9631409227085,-551.751258400521,-649.1272288286964,-634.0150425689394
-623.9018281890626,-623.8991543860186,-620.5435315658691,,,,,,-431.1714309785465,-544.8762423237804,-551.6443062787632,-649.1319822563303,-633.9838482000936
-623.9325769240679,-623.8991543860186,-620.5435315658691,,,,,,-431.5056563590395,-545.0032479683676,-551.7312048776914,-649.1322793455573,-633.9660228464671
-623.7855177566511,-623.9125234012383,-620.5702695963085,,,,,,-432.3412198102719,-545.0433550140268,-551.56074993364,-649.1255948379473,-633.9838482000936
-623.7561059231676,-623.925892416458,-620.5836386115282,,,,,,-431.57250143513807,-545.2839972879817,-551.7746541771554,-649.1318337117167,-633.9972172153131
-623.7547690216456,-623.925892416458,-620.5702695963085,,,,,,-431.73961412538455,-545.2104677042732,-551.6677020553976,-649.1261890164017,-633.9838482000933
-623.5381909750862,-623.9125234012383,-620.5836386115282,,,,,,-431.47223382099014,-544.9765099379282,-551.5774612026646,-649.1307938994217,-634.0016735537197
-623.2627892615599,-623.925892416458,-620.5702695963085,,,,,,-431.7396141253845,-545.0166169835874,-551.3969794971983,-649.130051176354,-633.9927608769066
-622.9833768434678,-623.8991543860186,-620.5702695963085,,,,,,-431.43881128294083,-545.0233014911972,-551.6309372635435,-649.131388077876,-633.9704791848739
-623.0368529043467,-623.8991543860186,-620.5702695963085,,,,,,-431.10458590244787,-544.7291831563634,-551.4170330200279,-649.1282686409915,-633.979391861687
-622.9472805023746,-623.8857853707989,-620.5301625506494,,,,,,-431.4053887448915,-544.7692902020226,-551.4872203499315,-649.133022068625,-633.9704791848739
-622.8897937369298,-623.8857853707989,-620.5569005810888,,,,,,-430.8037830600042,-545.0433550140268,-551.4972471113462,-649.1278230071507,-633.979391861687
-623.0141255784732,-623.8991543860186,-620.5435315658691,,,,,,-431.7730366634338,-545.1904141814437,-551.9985851820857,-649.1319822563302,-633.9749355232804
-623.026157692171,-623.925892416458,-620.6103766419677,,,,,,-432.10726204392677,-544.89629584661,-551.7445738929111,-649.1301997209675,-634.0105862305328
-623.1237515032749,-623.9125234012383,-621.2253513420748,,,,,,-430.87062813610277,-545.177045166224,-551.8682372836936,-649.1321308009437,-633.9838482000933
-622.9994196617315,-623.8857853707989,-621.2387203572945,,,,,,-431.30512113074366,-544.9564564150987,-551.607541486909,-649.1307938994219,-633.9660228464671
-622.9793661389019,-623.9526304468975,-621.2520893725142,,,,,,-431.03774082634925,-544.8027127400719,-551.6610175477879,-649.1303482655811,-634.0105862305328
-622.88310922932,-623.9125234012383,-621.2387203572945,,,,,,-431.2382760546451,-544.9898789531479,-551.6008569792991,-649.1285657302184,-633.9972172153131
-622.9365852901988,-623.8724163555792,-621.1986133116353,,,,,,-431.6059239731873,-545.3508423640803,-551.7646274157406,-649.1349531486012,-633.9749355232804
-622.8135903501774,-623.8991543860186,-621.2253513420748,,,,,,-430.7369379839056,-544.8227662629014,-551.647648532568,-649.1319822563302,-633.9927608769066
-622.7467452740789,-623.8857853707989,-622.5355148336072,,,,,,-431.4053887448915,-545.0433550140268,-551.9417668674018,-649.1351016932148,-633.9660228464671
-622.8470128882267,-623.925892416458,-622.6023599097058,,,,,,-431.338543668793,-545.3842649021296,-551.9217133445724,-649.1296055425133,-633.9883045385
-622.8229486608312,-623.9125234012383,-621.9339091487199,,,,,,-430.7035154458563,-545.0567240292465,-551.6810710706175,-649.1315366224894,-633.9749355232804
-622.924553176501,-623.8991543860186,-621.880433087841,,,,,,-430.56982529365916,-545.0901465672958,-551.7278626238865,-649.1330220686251,-633.9615665080605
-623.1464788291484,-623.8857853707989,-620.5569005810888,,,,,,-431.2382760546451,-545.3708958869099,-551.8381569994491,-649.1351016932148,-633.9749355232804
-623.403163921367,-623.9392614316778,-621.2387203572945,,,,,,-430.93747321220144,-545.0166169835875,-551.7980499537899,-649.1339133363064,-633.9883045385
-623.405837724411,-623.925892416458,-621.2520893725142,,,,,,-431.3719662068423,-545.1703606586141,-551.7211781162765,-649.1300511763541,-633.9927608769066
-623.6732180288053,-623.925892416458,-621.2520893725142,,,,,,-431.2716985926944,-545.317419826031,-551.7880231923751,-649.1258919271745,-633.9883045385
-623.9873898864688,-623.9392614316778,-621.2788274029537,,,,,,-431.27169859269435,-545.0166169835874,-551.7245203700816,-649.1275259179235,-633.9883045385001
-624.4446102069832,-623.9125234012383,-621.2253513420748,,,,,,-431.2382760546451,-544.89629584661,-551.747916146716,-649.1293084532863,-633.9660228464672
-624.8109212240034,-623.9392614316778,-621.2520893725142,,,,,,-431.53907889708876,-544.6489690650451,-551.4304020352477,-649.1226239456763,-633.9927608769067
-625.2975533780012,-623.8857853707989,-621.1986133116353,,,,,,-431.0043182883,-545.2639437651521,-551.8548682684739,-649.1291599086726,-633.9660228464672
-625.972688646597,-623.925892416458,-621.2654583877339,,,,,,-430.90405067415213,-545.130253612955,-551.8749217913034,-649.1252977487204,-633.9883045385001
-626.0849883744427,-623.9125234012383,-621.2387203572945,,,,,,-431.0043182883,-545.4711635010578,-552.0052696896956,-649.1318337117167,-633.9972172153131
-626.5368610888692,-623.8857853707989,-621.1986133116353,,,,,,-431.2716985926944,-544.7358676639733,-551.4571400656871,-649.1349531486012,-633.9615665080606
-626.6264334908414,-623.9125234012383,-621.1986133116353,,,,,,-431.43881128294083,-545.0166169835874,-551.6910978320323,-649.1355473270554,-633.979391861687
-626.7079844836817,-623.9125234012383,-621.2654583877339,,,,,,-431.23827605464504,-545.223836719493,-551.9317401059872,-649.1325764347844,-633.9927608769066
-626.5702836269185,-623.9526304468975,-621.2654583877339,,,,,,-432.1406845819761,-545.0700930444663,-551.704466847252,-649.1236637579713,-633.9972172153131
-626.6023692634458,-623.9125234012383,-621.2253513420748,,,,,,-432.240952196124,-545.2639437651522,-551.8214457304246,-649.1287142748321,-633.9749355232804
-626.784187870434,-623.8857853707989,-621.2253513420748,,,,,,-432.2075296580747,-544.9765099379283,-551.7479161467161,-649.1377754962588,-633.9704791848739
-626.8924768937137,-623.8991543860186,-621.2253513420748,,,,,,-432.1072620439268,-544.8428197857311,-551.6844133244224,-649.1312395332624,-633.9838482000936
-626.8042413932635,-623.9125234012383,-621.2387203572945,,,,,,-431.43881128294083,-545.0567240292465,-551.7412316391062,-649.1319822563302,-633.979391861687
-626.9553112652463,-623.8991543860186,-621.2253513420748,,,,,,-431.70619158733524,-544.7158141411437,-551.4705090809068,-649.1322793455573,-633.9704791848739
-627.1090549402732,-623.8991543860186,-621.1986133116353,,,,,,-432.2075296580747,-545.3909494097395,-551.9317401059872,-649.1352502378282,-633.9615665080606
-627.2039749483332,-623.925892416458,-621.2253513420748,,,,,,-431.67276904928593,-544.9965634607578,-551.6008569792991,-649.133022068625,-633.9571101696541
-627.16787860724,-623.8857853707989,-621.2253513420748,,,,,,-431.8398817395324,-544.8829268313903,-551.8381569994491,-649.1319822563302,-633.9615665080605
-627.2881997442174,-623.925892416458,-621.2520893725142,,,,,,-431.53907889708876,-545.1102000901253,-551.6309372635434,-649.1221783118358,-634.0105862305328
-627.3737614416236,-623.9125234012383,-621.2520893725142,,,,,,-431.94014935368034,-544.9297183846593,-551.5874879640794,-649.1340618809198,-633.9838482000933
-627.2507665016022,-623.8991543860186,-621.2253513420748,,,,,,-431.43881128294083,-545.1837296738338,-551.8515260146688,-649.1312395332624,-633.9660228464672
-627.4860611694693,-623.925892416458,-621.2654583877339,,,,,,-431.47223382099014,-544.7692902020226,-551.5173006341759,-649.1251492041068,-633.9838482000936
-627.924564868676,-623.925892416458,-621.2788274029537,,,,,,-431.2382760546451,-544.7692902020226,-551.7913654461801,-649.1272288286965,-634.0016735537197
-627.9860623386867,-623.9125234012383,-621.2387203572945,,,,,,-431.5390788970887,-544.8361352781212,-551.5640921874449,-649.1261890164017,-633.9793918616868
-627.8162758453963,-623.9125234012383,-620.5702695963085,,,,,,-430.7703605219549,-544.8093972476818,-551.557407679835,-649.1288628194457,-633.9883045385
-627.4900718740352,-623.9526304468975,-620.6103766419677,,,,,,-431.2382760546451,-545.1636761510043,-551.8080767152048,-649.1285657302184,-634.0061298921263
-627.5729597683975,-623.925892416458,-620.5702695963085,,,,,,-431.27169859269435,-545.2773127803719,-551.8181034766195,-649.131388077876,-633.9927608769066
-627.4914087755571,-623.8857853707989,-620.5301625506494,,,,,,-430.8037830600042,-544.9698254303185,-551.697782339642,-649.1301997209675,-633.9749355232804
-627.7146713297265,-623.925892416458,-620.597007626748,,,,,,-431.3051211307437,-545.1837296738338,-551.7412316391061,-649.1296055425132,-634.0016735537197
-627.6250989277543,-623.925892416458,-620.5836386115282,,,,,,-431.47223382099014,-545.2305212271028,-551.8481837608639,-649.1260404717881,-634.0016735537197
-627.8938161336707,-623.9125234012383,-620.5569005810888,,,,,,-431.6393465112367,-544.8027127400719,-551.744573892911,-649.124406481039,-633.9927608769066
-628.3390043404873,-623.8991543860186,-620.5435315658691,,,,,,-431.07116336439856,-545.3708958869099,-551.8983175679377,-649.1348046039876,-633.9749355232804
-628.7240319788152,-623.8991543860186,-621.2253513420748,,,,,,-431.07116336439856,-545.2037831966634,-551.8181034766196,-649.131388077876,-633.9749355232804
-628.7280426833812,-623.9392614316778,-621.2520893725142,,,,,,-430.9040506741521,-544.8093972476818,-551.6643598015927,-649.128714274832,-633.9927608769066
-628.3831220907124,-623.925892416458,-621.2520893725142,,,,,,-432.47490996246904,-545.0968310749057,-551.8983175679379,-649.120098687246,-633.9927608769066
-628.6037108418378,-623.8991543860186,-621.211982326855,,,,,,-431.90672681563103,-545.0433550140268,-551.8348147456443,-649.1367356839639,-633.9660228464672
-628.7908770549138,-623.925892416458,-621.2654583877339,,,,,,-431.47223382099014,-545.2438902423225,-551.6944400858371,-649.127748734844,-633.9972172153131
-628.7948877594798,-623.9392614316778,-621.2253513420748,,,,,,-431.4388112829409,-544.8896113390001,-551.5841457102745,-649.121435588768,-634.0061298921263
-628.8470269188366,-623.925892416458,-621.2387203572945,,,,,,-431.5390788970887,-545.036670506417,-551.8515260146688,-649.1236637579713,-633.9883045385001
-628.8042460701336,-623.925892416458,-621.2387203572945,,,,,,-431.7730366634338,-544.9364028922691,-551.6309372635435,-649.1325764347844,-633.9838482000936
-628.786866350348,-623.9392614316778,-621.2520893725142,,,,,,-431.1380084404972,-544.9297183846593,-551.7345471314964,-649.1284171856048,-634.0016735537197
